time,seconds_elapsed,z,y,x
1783081005656856800,0.14785693359375,9.823135375976562,0.0729810893535614,-0.028115665540099144
1783081005676706000,0.1677060546875,9.8207426071167,0.05623133108019829,-0.01615155301988125
1783081005696401200,0.187401123046875,9.844670295715332,0.0729810893535614,-0.01615155301988125
1783081005716250000,0.20725,9.830313682556152,0.07776673883199692,-0.047258246690034866
1783081005736098800,0.227098876953125,9.837491989135742,0.08973085135221481,-0.04486542567610741
1783081005755948000,0.246947998046875,9.830313682556152,0.07776673883199692,-0.04486542567610741
1783081005775796700,0.266796630859375,9.827920913696289,0.06340979784727097,-0.030508488416671753
1783081005795646000,0.28664599609375,9.8207426071167,0.07058826833963394,-0.025722842663526535
1783081005815498200,0.306498291015625,9.832706451416016,0.061016976833343506,-0.020937198773026466
1783081005835501300,0.326501220703125,9.832706451416016,0.08255238085985184,-0.04007977992296219
1783081005855349200,0.346349365234375,9.8207426071167,0.08015955984592438,-0.047258246690034866
1783081005875197400,0.366197509765625,9.827920913696289,0.07776673883199692,-0.03768695518374443
1783081005895046000,0.3860458984375,9.825528144836426,0.0729810893535614,-0.03290131315588951
1783081005914894300,0.405894287109375,9.830313682556152,0.06340979784727097,-0.04007977992296219
1783081005934743000,0.425742919921875,9.8207426071167,0.07058826833963394,-0.01375873014330864
1783081005954591700,0.445591796875,9.825528144836426,0.07058826833963394,-0.04247260093688965
1783081005974440400,0.4654404296875,9.832706451416016,0.0729810893535614,-0.04007977992296219
1783081005994289400,0.485289306640625,9.832706451416016,0.08015955984592438,-0.04007977992296219
1783081006014138000,0.50513818359375,9.81356430053711,0.07058826833963394,-0.028115665540099144
1783081006033987000,0.524987060546875,9.830313682556152,0.06819544732570648,-0.030508488416671753
1783081006053836000,0.5448359375,9.827920913696289,0.0729810893535614,-0.03529413416981697
1783081006073665800,0.564665771484375,9.825528144836426,0.07537391036748886,-0.04007977992296219
1783081006093326300,0.584326416015625,9.844670295715332,0.08015955984592438,-0.03768695518374443
1783081006113178000,0.60417822265625,9.825528144836426,0.07058826833963394,-0.030508488416671753
1783081006133029400,0.624029296875,9.830313682556152,0.06340979784727097,-0.028115665540099144
1783081006152899600,0.643899658203125,9.8207426071167,0.07058826833963394,-0.028115665540099144
1783081006172919600,0.66391943359375,9.815957069396973,0.0849452018737793,-0.03529413416981697
1783081006192578000,0.683578125,9.830313682556152,0.06340979784727097,-0.04486542567610741
1783081006212428500,0.703428466796875,9.835099220275879,0.0729810893535614,-0.03290131315588951
1783081006232298200,0.72329833984375,9.830313682556152,0.06580262631177902,-0.025722842663526535
1783081006252337000,0.7433369140625,9.81356430053711,0.058624155819416046,-0.04007977992296219
1783081006272168400,0.76316845703125,9.825528144836426,0.07058826833963394,-0.023330021649599075
1783081006291864800,0.78286474609375,9.823135375976562,0.07776673883199692,-0.03529413416981697
1783081006311714600,0.802714599609375,9.827920913696289,0.08015955984592438,-0.030508488416671753
1783081006331560400,0.822560546875,9.830313682556152,0.08733802288770676,-0.047258246690034866
1783081006351392000,0.84239208984375,9.842277526855469,0.07776673883199692,-0.03290131315588951
1783081006371431000,0.862430908203125,9.8207426071167,0.07537391036748886,-0.030508488416671753
