acc_x_mean,acc_x_var,acc_x_std,acc_x_rms,acc_x_dom_freq,acc_x_spectral_energy,acc_y_mean,acc_y_var,acc_y_std,acc_y_rms,acc_y_dom_freq,acc_y_spectral_energy,acc_z_mean,acc_z_var,acc_z_std,acc_z_rms,acc_z_dom_freq,acc_z_spectral_energy,gyro_x_mean,gyro_x_var,gyro_x_std,gyro_x_rms,gyro_x_dom_freq,gyro_x_spectral_energy,gyro_y_mean,gyro_y_var,gyro_y_std,gyro_y_rms,gyro_y_dom_freq,gyro_y_spectral_energy,gyro_z_mean,gyro_z_var,gyro_z_std,gyro_z_rms,gyro_z_dom_freq,gyro_z_spectral_energy,activity,session,window_id
0.1991551743424041,-0.36441678376864606,-0.6158467307310606,-0.6210805833587351,-0.4256624360630172,-0.36010843676192067,0.2333937397331552,-0.4936304383555959,-0.6290651333283133,-0.6343918467060433,0.05451420774193361,-0.48809589218605,-0.043775371775379275,-0.5479659723611429,-0.6599347890570482,-0.6627586648397044,-0.004321339179919399,-0.5416419610665889,-0.03754740218440258,-0.4865767005975506,-0.7025664506663977,-0.705847952897513,-0.11954436184299941,-0.4780976807654748,0.00154102789052672,-0.47307997818254877,-0.7528555965342218,-0.7448274571508153,0.5869213326278168,-0.4695556459985744,0.0063576711701555195,-0.4953821793250687,-0.7954881532705383,-0.780647917447897,-0.6740087170282117,-0.4890636000940524,standing,2026-07-03_12-01-28,0.0
0.18184088911748997,-0.36442679669414096,-0.6165249493723777,-0.6214606081780887,-0.7006500883009072,-0.3601016126597004,0.21921943985289485,-0.4936260007263515,-0.6283051296408074,-0.6335450025894774,-0.04048810046399983,-0.48808942941708666,-0.03954261513198622,-0.5479555287905122,-0.6587412615286179,-0.6615848673847984,0.06717642767478875,-0.5416282084883168,0.05166591880924469,-0.4864671658171221,-0.699078717646372,-0.7016203905320197,-0.011237994829495886,-0.4779327492633904,0.0002607697390817428,-0.47298436863088916,-0.7490139968193411,-0.7411663410346956,-0.08673545419665823,-0.469423822637627,0.07853067266787855,-0.4953456784979331,-0.7940600128027836,-0.7749596019734769,-0.700654991209631,-0.4889831596437528,standing,2026-07-03_12-01-28,1.0
0.20124901564319644,-0.3643345120603535,-0.6107815854376804,-0.6160858832640699,-0.1256343661736875,-0.35999981328565817,0.23491230488472567,-0.493613900242234,-0.6265089020151892,-0.6318403285757697,-0.5552143319044603,-0.48807609906548455,-0.04042902157862082,-0.5479228368505263,-0.6555948580640346,-0.6584549347799176,-0.13086279444908835,-0.5415926623024698,-0.0017295137504217642,-0.4860990238021374,-0.6887678218036317,-0.6928076625264586,0.4117045157784476,-0.477527011533411,0.05535208781884601,-0.4727708146585711,-0.7414421737578076,-0.7324095694583864,0.7487310510317344,-0.4691823125211514,0.005296917363350449,-0.4951129168068085,-0.7858535863125858,-0.7734876214095817,-0.7098505681820423,-0.48872386350864205,standing,2026-07-03_12-01-28,2.0
0.17880879472805364,-0.3644464234096389,-0.6179038323626419,-0.622707481664368,-0.7088531097913935,-0.36011404533915436,0.2312310695433714,-0.49361830736106915,-0.6271251998388847,-0.6324837265222772,-0.5487884502890253,-0.48808073517289957,-0.032555585254152954,-0.5479251856707112,-0.6557990654773994,-0.6586248612991795,-0.11495472578667848,-0.5415950979635058,-0.014247129824044276,-0.48651114099530113,-0.7004501572367399,-0.7042757320150761,-0.2871342139586314,-0.47794515860497166,-0.006712471502251172,-0.4732682094211447,-0.7617380437498644,-0.752170445009085,0.793228723592812,-0.4696941280533363,0.028108594217742765,-0.4951581852551161,-0.7873467131465878,-0.7801431463693215,-0.47554726692500177,-0.48877098247806255,standing,2026-07-03_12-01-28,3.0
0.23238738406208898,-0.3639526850394187,-0.5934369578859529,-0.5985961232951896,-0.7088531097913935,-0.3596113506259624,0.22513801086736168,-0.493592097997898,-0.6238792179588702,-0.6292493877631342,-0.7126484314826191,-0.48805390496597256,-0.04691998497233585,-0.5479103044766086,-0.654548296044939,-0.6573848706582368,-0.11495472578667848,-0.5415797737082577,-0.002839752576854782,-0.4860084455592544,-0.686482118721421,-0.690553799064705,-0.2871342139586314,-0.4774336859163957,0.006892196989514706,-0.4727810385624596,-0.7417795348359278,-0.7347392285806688,0.793228723592812,-0.4691931990186313,0.04077990150792099,-0.494742300502171,-0.7749314326189612,-0.7704649160976335,-0.24574979838444275,-0.48834906739154543,standing,2026-07-03_12-01-28,4.0
0.1948417922739003,-0.36442533515588743,-0.6164249443759429,-0.6216197320886581,-0.1256343661736875,-0.3600920634439664,0.23500610363733368,-0.4936203146064945,-0.6274190281653659,-0.6327406562181646,-0.5552143319044603,-0.4880826160280331,-0.0357838694283729,-0.547973554020149,-0.660889874695596,-0.6637065835437248,-0.449024167697284,-0.5416444010173023,-0.013828248782348129,-0.4868342390385246,-0.7119690162229454,-0.7156271663686796,0.6526833881015781,-0.47827146408808957,0.041717778517383584,-0.47314877458668964,-0.7558599273197131,-0.7470039074120308,-0.8086874886059763,-0.4695692336426558,0.01325803952383168,-0.4954932956233003,-0.8001604010479768,-0.7865351127104794,0.1913159751142674,-0.4891106128403733,standing,2026-07-03_12-01-28,5.0
0.1824484243761275,-0.3642139574313302,-0.6044919019750398,-0.6096815563175353,0.8989391023439041,-0.36000832438180447,0.25400907163497066,-0.49358590203784813,-0.6232231888004571,-0.6281271858275247,0.7620913992597245,-0.48806846537428433,-0.07306701161707575,-0.5478304710735733,-0.6490262179325823,-0.6514448272326848,-0.23085636889852135,-0.5415552153711573,0.04196753108804818,-0.48230012586963894,-0.6243584327685209,-0.6288899668997441,0.5907173923613442,-0.47524111418509274,0.07718730626719636,-0.4723251749263781,-0.7284080376311088,-0.7179055047082918,1.1174260522520902,-0.46911665467383123,0.025208471531063953,-0.4952205831364781,-0.7894790741890749,-0.7814582479376074,0.37798618765421726,-0.4890534889406417,standing,2026-07-03_12-01-28,6.0
0.22554245045371546,-0.36427205709964366,-0.6073910520294818,-0.6124366117990709,-0.44088774110217716,-0.3599786901171809,0.19975633248093722,-0.4935874798310704,-0.6233872448472307,-0.6281113582557025,-0.694441766905553,-0.4880568769218507,-0.06399800871512064,-0.5478326519114533,-0.6491584380926496,-0.6517980788229992,0.3357738863149322,-0.5415216994472849,0.0805147501847655,-0.4852300488284675,-0.669431358435599,-0.6717170820044651,-1.2430170741737168,-0.4768904424248662,0.05181111920617355,-0.47238319503318554,-0.7299540981060253,-0.7222811558882193,0.5410752457467066,-0.46892513006036063,0.00309813127659469,-0.4947549321150258,-0.7752727067529315,-0.7650730315726455,0.08617987839636476,-0.488497035852607,standing,2026-07-03_12-02-02,0.0
0.180884032456706,-0.3640745176024094,-0.5982643353916652,-0.6035317332129899,-0.7088531097913935,-0.35973508215322064,0.2522699881388981,-0.493609444363759,-0.6259205873019019,-0.6307753927457806,-0.5487884502890253,-0.48807152057027614,-0.036459421387892876,-0.5479279054362979,-0.6560390248213107,-0.6588896664259463,-0.11495472578667848,-0.541597910376052,-0.06309143714627155,-0.4862606752110303,-0.6930698042501956,-0.6956046248474643,0.4502611353501486,-0.47769013092109447,0.007557314626725202,-0.47282547625849236,-0.7432720392976673,-0.7361665421302106,-1.249214446960643,-0.46923764837296356,0.032347236263335466,-0.49444428402196255,-0.7673520125436669,-0.7642579647267315,-0.7053447354655608,-0.4880437150200009,standing,2026-07-03_12-02-02,1.0
0.20683347803738986,-0.3643035745287353,-0.6090618865413366,-0.6143753937690352,-0.1256343661736875,-0.35996838964641015,0.23028393830496405,-0.49361790926816146,-0.6270679584733754,-0.6324304884295386,-0.07327321074683178,-0.48808017221611405,-0.034533598847190816,-0.547912856153784,-0.6547558869395473,-0.6576040249311491,-0.13086279444908835,-0.541582480574538,-0.02491027872600162,-0.4859978244662099,-0.6862193638065595,-0.6901231425488277,-0.3112321011909446,-0.4774245407188328,0.017887378377175106,-0.4731642975408458,-0.7565713504777112,-0.7489111939822198,0.7487310510317344,-0.46958512463634144,0.007527780899520114,-0.49418371478840867,-0.7613312961321982,-0.7558019684238321,-0.7098505681820423,-0.48777909938383124,standing,2026-07-03_12-02-02,2.0
