time,seconds_elapsed,z,y,x
1783080105190585900,0.1105859375,-0.02263685315847397,0.025965800508856773,0.022370535880327225
1783080105230226000,0.150225830078125,-0.03861580789089203,-0.005992108024656773,-0.08042740821838379
1783080105250075600,0.17007568359375,-0.04660528525710106,-0.011851058341562748,-0.053795814514160156
1783080105269925000,0.189925048828125,-0.03435475379228592,-0.009187898598611355,-0.002663159044459462
1783080105289774800,0.20977490234375,-0.03275685757398605,-0.020373167470097542,0.03142527863383293
1783080105309624600,0.22962451171875,-0.02636527456343174,-0.035819489508867264,0.029827382415533066
1783080105349324000,0.269323974609375,-0.016777902841567993,0.01904158666729927,-0.025033695623278618
1783080105369173500,0.289173583984375,-0.02583264373242855,0.02330264262855053,-0.018109481781721115
1783080105389023500,0.3090234375,-0.0354200154542923,0.012117373757064342,0.008522109128534794
1783080105408873000,0.328873046875,-0.04340949282050133,-0.011851058341562748,0.021305272355675697
1783080105428722700,0.34872265625,-0.015712639316916466,-0.008655266836285591,0.014913691207766533
1783080105448572400,0.368572509765625,0.015712639316916466,0.03129211813211441,0.005326318088918924
1783080105468422000,0.388421875,0.01837579719722271,0.040879491716623306,0.025566328316926956
1783080105488271600,0.408271728515625,0.0050600022077560425,0.0035952648613601923,0.061785291880369186
1783080105508121300,0.428121337890625,-0.002929474925622344,-0.026232117787003517,0.07669898122549057
1783080105527971000,0.44797119140625,-0.012516847811639309,-0.02090579830110073,0.04420844092965126
1783080105547820800,0.46782080078125,-0.010386320762336254,0.009454214945435524,-0.0015978955198079348
1783080105567670300,0.487670166015625,0.0018642114009708166,0.01850895583629608,-0.017576850950717926
1783080105587520000,0.50752001953125,0.010386320762336254,0.017976323142647743,0.01438105944544077
1783080105607369700,0.52736962890625,0.0050600022077560425,0.016378428786993027,0.062317922711372375
1783080105627219500,0.547219482421875,-0.0034621069207787514,0.012117373757064342,0.08575372397899628
1783080105647069000,0.56706884765625,-0.007723161485046148,-0.013448953628540039,0.05752423778176308
1783080105666918700,0.586918701171875,0.004527370445430279,-0.018775271251797676,0.008522109128534794
1783080105686768400,0.606768310546875,0.013049479573965073,-0.02143843099474907,-0.02450106292963028
1783080105706617900,0.626617919921875,0.001331579522229731,0.011584741994738579,-0.026631591841578484
1783080105726467600,0.646467529296875,-0.008255792781710625,0.01318263728171587,0
1783080105746317300,0.6663173828125,-0.0023968431632965803,-0.002796316985040903,0.03142527863383293
1783080105766167000,0.6861669921875,0.005592633970081806,0.003062632866203785,0.038882121443748474
1783080105786016800,0.706016845703125,0.006657897960394621,0.017443692311644554,0.02024000883102417
1783080105805866200,0.7258662109375,0.001331579522229731,0.01318263728171587,-0.0021305272821336985
1783080105825716000,0.745716064453125,-0.0018642114009708166,0.004660528618842363,-0.020772641524672508
1783080105845565700,0.765565673828125,-0.0018642114009708166,0.016911059617996216,-0.01651158556342125
1783080105865415400,0.78541552734375,-0.001331579522229731,0.0019973693415522575,-0.004261054564267397
1783080105885265000,0.805264892578125,0.001331579522229731,-0.028362644836306572,-0.002663159044459462
1783080105905114600,0.825114501953125,0.010386320762336254,-0.0342215932905674,-0.014913691207766533
1783080105924964400,0.84496435546875,0.026897907257080078,0.005725792143493891,-0.025033695623278618
1783080105944814000,0.86481396484375,0.04394212365150452,0.01318263728171587,-0.01438105944544077
1783080105964663600,0.88466357421875,0.028495801612734795,-0.01078579481691122,0.002663159044459462
1783080105984513300,0.90451318359375,0.016245270147919655,-0.008122635073959827,0.008522109128534794
1783080106004363000,0.924363037109375,0.003994738683104515,-0.008655266836285591,-0.0015978955198079348
1783080106024058600,0.94405859375,0.02210422046482563,-0.015579480677843094,-0.01225053146481514
1783080106043869700,0.96386962890625,0.04287686198949814,0.01904158666729927,-0.0010652636410668492
1783080106063911400,0.983911376953125,0.03488738462328911,0.01957421936094761,0.030360013246536255
1783080106103611100,1.023611083984375,0.007190529722720385,-0.026232117787003517,0.05219791829586029
1783080106123306800,1.043306640625,0.017310533672571182,-0.006524739786982536,0.009054740890860558
1783080106143117800,1.063117919921875,0.029561065137386322,0.01957421936094761,-0.02450106292963028
1783080106163159800,1.083159912109375,0.024234747514128685,0.01904158666729927,-0.01970737800002098
1783080106183009500,1.103009521484375,0.013582111336290836,-0.004926844500005245,0.018109481781721115
1783080106202705200,1.122705078125,0.013582111336290836,-0.02889527566730976,0.050600022077560425
1783080106222708700,1.142708740234375,0.019973693415522575,-0.020373167470097542,0.04474107176065445
1783080106242404400,1.162404296875,0.012516847811639309,-0.006524739786982536,-0.0015978955198079348
1783080106262408000,1.182407958984375,0.002929474925622344,-0.004926844500005245,-0.045806337147951126
1783080106282103800,1.202103759765625,-0.0007989477599039674,-0.014514217153191566,-0.054328445345163345
